Ticker;CÓDIGO;EMPRESA;SETOR ECONÔMICO;SUBSETOR;SEGMENTO
ASAI3.SA;ASAI;ASSAI;Consumo não Cíclico;Comércio e Distribuição;Alimentos
VIIA3.SA;VIIA;VIA;Consumo Cíclico;Comércio Varejista;Eletrodomésticos
MGLU3.SA;MGLU;MAGAZ LUIZA ;Consumo Cíclico;Comércio Varejista;Eletrodomésticos
PETR4.SA;PETR;PETROBRAS   ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
PETR3.SA;PETR;PETROBRAS   ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
HAPV3.SA;HAPV;HAPVIDA;Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;Serviços Médico - Hospitalares, Análises e Diagnósticos
BBDC4.SA;BBDC;BRADESCO    ;Financeiro;Intermediários Financeiros;Bancos
BBDC3.SA;BBDC;BRADESCO    ;Financeiro;Intermediários Financeiros;Bancos
CVCB3.SA;CVCB;CVC BRASIL;Consumo Cíclico;Viagens e Lazer;Viagens e Turismo
RAIL3.SA;RAIL;RUMO S.A.;Bens Industriais;Transporte;Transporte Ferroviário
COGN3.SA;COGN;COGNA ON;Consumo Cíclico;Diversos;Serviços Educacionais
CIEL3.SA;CIEL;CIELO       ;Financeiro;Serviços Financeiros Diversos;Serviços Financeiros Diversos
RAIZ4.SA;RAIZ;RAIZEN;Consumo não Cíclico;Agropecuária;Agricultura
VALE3.SA;VALE;VALE        ;Materiais Básicos;Mineração;Minerais Metálicos
CPLE6.SA;CPLE;COPEL       ;Utilidade Pública;Energia Elétrica;Energia Elétrica
CPLE3.SA;CPLE;COPEL       ;Utilidade Pública;Energia Elétrica;Energia Elétrica
CPLE5.SA;CPLE;COPEL       ;Utilidade Pública;Energia Elétrica;Energia Elétrica
EQTL3.SA;EQTL;EQUATORIAL  ;Utilidade Pública;Energia Elétrica;Energia Elétrica
MRVE3.SA;MRVE;MRV         ;Consumo Cíclico;Construção Civil;Incorporações
VAMO3.SA;VAMO;VAMOS;Consumo Cíclico;Diversos;Aluguel de carros
LREN3.SA;LREN;LOJAS RENNER;Consumo Cíclico;Comércio Varejista;Tecidos, Vestuário e Calçados
CCRO3.SA;CCRO;CCR SA      ;Bens Industriais;Transporte;Exploração de Rodovias
